Movie_name,Year,Director(s),AVG,ALI,Masoud,Hossein,Ali H,Omid,Azin,Sajad,eVE,MehrNaZ,Shaqayeq,Sahar
Seven Samurai,1954,Akira Kurosawa,9.18,9.7,9.1,8.8,9.1,9.2,9.2,,,,,
Paths of Glory,1957,Stanley Kubrick,9.12,9,9.3,,,9.3,,,,,9,9
Grave of the Fireflies,1988,Isao Takahata,9.11,,8.7,8.8, ,,,9.6,9.1,9.1,9.3,9.2
Schindler's List,1993,Steven Spielberg,9.11,8.8,8.9,9.2,9,9.5,9,9,9,9,9.5,9.3
Cinema Paradiso,1988,Giuseppe Tornatore,9.08,9,9.2,8.9,,9.3,9,,,,,
Barry Lyndon ,1975,Stanley Kubrick,9.08,9.4,9.4,8.7,,9.4,,8.5,,,,
The Godfather,1972,Francis Ford Coppola,8.98,9.1,8.9,7.9,9,9.4,8.8,9.5,9,,9,9.2
Léon: The Professional,1994,Luc Besson,8.92,9.2,9.2,7.5,9.3,8.5,8.8,9.5,9.2,9,9,8.9
Once Upon a Time in the West,1968,Sergio Leone,8.9,8.9,8.9,,,8.9,,,,,,
12 Angry Men,1957,Sidney Lumet,8.9,7.9,8.8,9,,9.2,,,,,9.3,9.2
Underground,1995,Emir Kusturica,8.9,,,8.9,,,,,,,,
"The Good, the Bad and the Ugly ",1966,Sergio Leone,8.86,9.2,8.5,9,9.4,8.4,8.5,9,,,,
Gladiator,2000,Ridley Scott,8.81,9.3,9,8,9.5,9.4,9.4,8,9,,8.1,8.4
The Lord of the Rings: The Return of the King,2003,Peter Jackson,8.8,8.3,8.9,8.6,8.5,9,,9,8.9,9.2,,
The Godfather: Part II,1974,Francis Ford Coppola,8.8,8.2,,8.4,9.1,9.4,8.6,,,,8.9,9
Witness for the Prosecution,1957,Billy Wilder,8.8,8.3,,,,9.2,,,,,8.9,8.8
Das Boot ,1981,Wolfgang Petersen,8.8,8.9,,,,8.7,,,,,,
Wolfwalkers,2020,"Tomm Moore, Ross Stewart",8.8,8.8,,,,,,,,,,
The Kid,1921,Charles Chaplin,8.78,8.5,9,8.7,,8.9,,,,,,
Throne of Blood,1957,Akira Kurosawa,8.78,9.1,8.5,,9.1,8.4,,,,,,
Princess Mononoke,1997,Hayao Miyazaki,8.77,9.1,9,9.1,,,,,8.6,,8.3,8.5
Inception,2010,Christopher Nolan,8.76,7.8,8.2,8.7,9,9.1,9.6,8.4,8.6,8.9,9.1,9
Amadeus ,1984,Milos Forman,8.75,8.7,8.7,8.9,,8.7,,,,,,
